drug_a,drug_b,severity,description,source
warfarin,aspirin,high,Concurrent use of warfarin and aspirin significantly increases bleeding risk. Both inhibit platelet function and clotting factors. Monitor INR closely; this combination should generally be avoided.,clinical_reference
warfarin,ibuprofen,high,NSAIDs like ibuprofen inhibit platelet aggregation and can cause GI bleeding. Combined with warfarin anticoagulation this creates serious hemorrhage risk.,clinical_reference
warfarin,naproxen,high,Naproxen (NSAID) combined with warfarin increases bleeding risk via dual antiplatelet and anticoagulant effect. Avoid concurrent use.,clinical_reference
warfarin,metronidazole,high,Metronidazole inhibits CYP2C9 significantly increasing warfarin plasma levels and bleeding risk. INR may double. Monitor closely or use alternative antibiotic.,clinical_reference
warfarin,fluconazole,high,Fluconazole is a strong CYP2C9 inhibitor that dramatically increases warfarin exposure. Can cause serious bleeding. Reduce warfarin dose and monitor INR.,clinical_reference
warfarin,amiodarone,contraindicated,Amiodarone potently inhibits warfarin metabolism leading to markedly elevated INR and life-threatening bleeding. This combination requires extreme caution and INR monitoring.,clinical_reference
warfarin,rifampin,high,Rifampin is a powerful CYP450 inducer that drastically reduces warfarin levels potentially leading to thromboembolism. Avoid concurrent use.,clinical_reference
warfarin,carbamazepine,high,Carbamazepine induces CYP2C9 reducing warfarin efficacy. Thrombotic risk increases. Monitor INR and adjust warfarin dose.,clinical_reference
sertraline,phenelzine,contraindicated,Combining SSRIs with MAOIs like phenelzine causes potentially fatal serotonin syndrome: hyperthermia agitation muscle rigidity seizures. Contraindicated. Allow 14-day washout.,clinical_reference
fluoxetine,phenelzine,contraindicated,SSRI plus MAOI combination is contraindicated due to risk of fatal serotonin syndrome. Allow 14-day washout period between fluoxetine and phenelzine.,clinical_reference
escitalopram,phenelzine,contraindicated,SSRIs and MAOIs must not be co-administered due to risk of fatal serotonin syndrome. Contraindicated combination.,clinical_reference
tramadol,phenelzine,contraindicated,Tramadol combined with MAOIs can cause serotonin syndrome and seizures. This combination is contraindicated.,clinical_reference
simvastatin,amiodarone,high,Amiodarone inhibits CYP3A4 increasing simvastatin levels and risk of myopathy and rhabdomyolysis. Limit simvastatin dose to 20mg/day with amiodarone.,clinical_reference
simvastatin,clarithromycin,contraindicated,Clarithromycin strongly inhibits CYP3A4 dramatically increasing simvastatin levels causing rhabdomyolysis risk. Contraindicated; hold statin during antibiotic course.,clinical_reference
atorvastatin,clarithromycin,high,Clarithromycin inhibits CYP3A4 increasing atorvastatin exposure and myopathy risk. Limit atorvastatin to 20mg/day or use alternative antibiotic.,clinical_reference
simvastatin,itraconazole,contraindicated,Itraconazole strongly inhibits CYP3A4 causing marked increase in simvastatin levels and high risk of severe myopathy or rhabdomyolysis. Contraindicated.,clinical_reference
clopidogrel,omeprazole,moderate,Omeprazole inhibits CYP2C19 reducing activation of clopidogrel to its active form. This may reduce antiplatelet efficacy and increase cardiovascular risk.,clinical_reference
digoxin,amiodarone,high,Amiodarone inhibits P-glycoprotein increasing digoxin levels potentially causing digoxin toxicity: bradycardia heart block nausea. Reduce digoxin dose by 30-50%.,clinical_reference
digoxin,clarithromycin,high,Clarithromycin inhibits P-gp increasing digoxin concentrations and risk of toxicity. Monitor digoxin levels closely.,clinical_reference
methotrexate,aspirin,high,NSAIDs reduce renal clearance of methotrexate causing toxic accumulation. Can cause severe bone marrow suppression and mucositis. Avoid concurrent use especially with high-dose methotrexate.,clinical_reference
methotrexate,ibuprofen,high,Ibuprofen reduces methotrexate renal excretion potentially causing life-threatening toxicity including bone marrow suppression. Avoid concurrent use.,clinical_reference
lithium,ibuprofen,high,NSAIDs reduce renal lithium clearance increasing lithium levels and risk of toxicity (tremor confusion arrhythmias). Monitor lithium levels closely.,clinical_reference
lithium,naproxen,high,Naproxen reduces renal lithium clearance. Lithium toxicity risk increases significantly. Monitor serum lithium levels.,clinical_reference
colchicine,clarithromycin,contraindicated,Clarithromycin inhibits P-gp and CYP3A4 causing potentially fatal colchicine toxicity including multi-organ failure. Contraindicated especially in renal impairment.,clinical_reference
cyclosporine,clarithromycin,high,Clarithromycin inhibits CYP3A4 markedly increasing cyclosporine levels and nephrotoxicity risk. Monitor cyclosporine levels and renal function.,clinical_reference
tacrolimus,clarithromycin,high,Clarithromycin strongly inhibits CYP3A4 increasing tacrolimus levels several-fold. Can cause nephrotoxicity and immunosuppression complications. Monitor levels.,clinical_reference
sildenafil,nitrates,contraindicated,Concurrent use of PDE5 inhibitors with nitrates causes severe potentially fatal hypotension. Absolutely contraindicated.,clinical_reference
tadalafil,nitrates,contraindicated,PDE5 inhibitors combined with nitrates cause severe hypotension. Contraindicated combination.,clinical_reference
amlodipine,simvastatin,moderate,Amlodipine inhibits CYP3A4 increasing simvastatin exposure and myopathy risk. Limit simvastatin dose to 20mg/day with amlodipine 10mg.,clinical_reference
